Time, Latitude (deg), Longitude (deg), Vehicle speed (km/h), Engine coolant temperature, Intake manifold absolute pressure (kPa), Engine RPM (RPM), Intake air temperature (°C), Relative throttle position (%), Mass air flow sensor A (g/s), Mass air flow rate (g/s), Boost (kPa), Acceleration (m/s²), Acceleration (Avg) (m/s²), Engine Power (PS), Engine Torque (N•m), GPS Speed (km/h), Calculated load value (%), Engine oil temperature (°C), Fuel injection timing (deg), Instant fuel economy (l/100 km), Total fuel economy (l/100 km), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Accel (Grav) X (m/s²), Accel (Grav) Y (m/s²), Accel (Grav) Z (m/s²), Time since engine start (sec), Fuel rail pressure (kPa), Absolute throttle position B (%), Absolute throttle position C (%), Accelerator pedal position D (%), Accelerator pedal position E (%), Accelerator pedal position F (%), Boost pressure sensor A (kPa), Altitude (m)
12/27/2023 05:28:33.0277 μ.μ.,40.53314,23.03925,0,82,99,955.5,30,67.84314,0,10.66337,-2,-3.33E-16,2.22E-17,9.695969,73.26189,0,94.90196,0,0,0,55.54068,0.8518302,-0.2298572,0.1167103,2.008224,7.681277,-5.998626,4961,68340,0,0,44.70588,39.21569,0,0,56.32817
12/27/2023 05:28:33.8604 μ.μ.,40.53312,23.03924,4,82,109,1237,29,4.705883,0,12.96881,8,0.7538767,0.1507753,30.43061,177.6064,5.911033,99.21568,0,0,212.9477,55.70405,-0.003632457,0.2825642,-0.159293,2.833607,7.096443,-6.04952,4961,82760,0,0,52.54902,47.05882,0,0,56.81505
12/27/2023 05:28:34.6007 μ.μ.,40.53308,23.03922,12,82,153,2051,29,45.4902,0,23.64499,52,1.94336,0.3886719,57.55793,202.6082,12.86772,89.01961,0,0,134.2599,56.00621,-0.9975471,-1.659213,-1.685402,4.058061,9.371263,-3.732189,4961,132620,0,0,49.80392,43.13726,0,0,56.98358
12/27/2023 05:28:35.3626 μ.μ.,40.53304,23.03922,18,82,151,2824,29,11.37255,0,38.69195,50,2.330369,0.616849,68.12131,174.155,19.06449,16.07843,0,0,105.9334,56.22186,-0.6372215,1.243166,-0.5212047,3.639082,6.297554,-5.165308,4961,64680,0,0,22.7451,20,0,0,57.04407
12/27/2023 05:28:36.1719 μ.μ.,40.53304,23.03922,19,82,118,2553.5,29,5.098039,0,41.63175,17,1.330755,0.6548229,56.76181,160.4863,19.06449,84.70588,0,0,83.62286,56.35921,0.200375,0.3155542,0.4184285,3.081193,7.307055,-6.109246,4961,114040,0,0,52.15686,45.88235,0,0,57.04407
12/27/2023 05:28:36.9935 μ.μ.,40.53298,23.03924,23,82,157,2049.5,28,8.627451,0,50.08567,56,0.9229014,0.8014293,61.45533,216.4857,23.81625,77.25491,0,0,74.79181,56.46037,0.3243025,0.6408893,0.4058906,3.239264,6.79018,-6.207142,4961,124310,0,0,52.15686,46.27451,0,0,57.22073
12/27/2023 05:28:37.7570 μ.μ.,40.53292,23.0393,28,82,164,2503.5,28,5.098039,0,42.13175,63,1.492987,0.9534204,69.86801,201.4876,29.93111,79.21568,0,0,69.84618,56.57596,1.63767,-0.2863726,0.04312522,1.629811,7.609426,-5.987998,4961,139220,0,0,53.33333,47.45098,0,0,57.16586
12/27/2023 05:28:38.4978 μ.μ.,40.53285,23.03938,31,82,169,2756.5,28,4.705883,0,53.03371,68,1.339989,1.069427,79.67092,208.6697,35.67056,82.74509,0,0,71.93835,56.70652,0.4142184,0.257124,-0.1323465,1.973496,7.19389,-5.986202,4961,150700,0,0,57.2549,50.98039,0,0,56.95636
12/27/2023 05:28:39.4841 μ.μ.,40.53278,23.03947,36,82,184,3128,28,4.705883,0,63.57605,83,1.490174,1.251455,103.5068,238.9021,40.89799,79.60784,0,0,80.48016,56.89971,-0.5069532,-1.190544,-2.420893,2.225572,8.896001,-3.482508,4961,154360,0,0,60.78431,53.72549,0,0,57.47727
12/27/2023 05:28:40.3065 μ.μ.,40.5327,23.03959,40,83,202,3554.5,27,4.705883,0,79.20194,101,1.659271,1.401281,124.9544,253.7995,45.65736,72.54902,0,0,87.44077,57.22141,-0.1308286,-0.103664,0.5886789,1.718576,7.966434,-6.355185,4969,123820,0,0,22.7451,20,0,0,57.20274
12/27/2023 05:28:41.0584 μ.μ.,40.5327,23.03959,44,83,132,3392.5,27,4.705883,0,59.00851,31,1.261279,1.503711,72.47024,154.2259,45.65736,84.70588,0,0,46.10301,57.03571,-0.04969388,0.3139409,0.3063512,1.487008,7.449559,-6.182144,4969,123820,0,0,54.5098,48.62745,0,0,57.20274
12/27/2023 05:28:41.7982 μ.μ.,40.53262,23.0397,46,83,162,2378,27,4.705883,0,69.11894,61,0.8957387,1.429654,85.38631,259.2352,48.21457,77.64706,0,0,51.95804,56.99117,0.257552,-0.1278769,0.6314727,1.074615,7.692653,-6.689888,4969,136040,0,0,58.03922,51.37255,0,0,57.33056
12/27/2023 05:28:42.6225 μ.μ.,40.53252,23.03982,50,83,194,2576,27,4.705883,0,58.01974,93,1.12264,1.339567,98.12415,275.0095,52.60553,72.94118,0,0,54.93235,56.95731,-0.6284924,0.23062,0.7707999,1.982178,7.32876,-7.024742,4969,141410,0,0,57.64706,50.98039,0,0,57.44635
12/27/2023 05:28:43.5326 μ.μ.,40.53242,23.03996,53,83,188,2708,26,4.705883,0,60.90682,87,1.30728,1.225036,95.51004,254.6349,56.7739,77.25491,0,0,50.44237,56.89698,0.307118,-0.3488146,0.08041985,1.140179,7.914342,-6.336922,4969,147770,0,0,59.21569,52.15686,0,0,57.37059
12/27/2023 05:28:44.2827 μ.μ.,40.53231,23.0401,57,83,187,2925,26,4.705883,0,63.90014,86,1.158255,1.305067,101.3561,250.1738,60.63125,79.60784,0,0,49.77343,56.76026,0.050405,-0.2941178,-0.7641728,1.388064,7.856263,-5.452561,4969,152900,0,0,59.60784,52.54902,0,0,57.4099
12/27/2023 05:28:45.1140 μ.μ.,40.53231,23.0401,61,83,189,3081.5,26,4.705883,0,69.75884,88,1.275687,1.295593,109.7451,257.1227,60.63125,78.82353,0,0,50.35904,56.66475,-0.07384343,-0.2342084,-0.06753898,1.501228,7.763456,-6.242918,4969,154360,0,0,60,52.94118,0,0,57.4099
12/27/2023 05:28:45.9534 μ.μ.,40.5322,23.04024,64,83,195,3233.5,26,4.705883,0,75.82429,94,1.24458,1.255385,116.5061,260.1317,64.16574,85.09804,0,0,50.95549,56.58516,0.5405689,0.2979986,0.2896919,0.6709049,7.165898,-6.657556,4969,156570,0,0,62.7451,55.68628,0,0,57.56598
12/27/2023 05:28:46.8274 μ.μ.,40.53208,23.0404,67,83,209,3403,25,4.705883,0,85.27676,108,1.06484,1.240563,128.5548,272.7368,68.11882,85.4902,0,0,53.70759,56.54824,-0.140936,0.07230075,0.3486418,1.366658,7.372319,-6.77581,4969,158760,0,0,63.52941,55.68628,0,0,57.23976
12/27/2023 05:28:47.6571 μ.μ.,40.53195,23.04057,71,83,222,3626,25,4.705883,0,95.64906,121,1.075457,1.172442,142.0174,282.7687,72.52881,99.21568,0,0,55.98937,56.52635,0.1843747,-0.3971252,-0.2478433,0.8363109,7.926167,-6.066285,4969,160720,0,0,88.62745,77.64706,0,0,57.07244
12/27/2023 05:28:48.4807 μ.μ.,40.53181,23.04074,75,83,237,3768.5,25,4.705883,0,108.8033,136,1.3205,1.172809,153.1155,293.3379,76.90511,99.60784,0,0,57.14526,56.53617,-0.6494731,-0.8726588,-1.402891,1.676065,8.794362,-4.437971,4977,160230,0,0,88.62745,77.64706,0,0,57.34932
12/27/2023 05:28:49.2933 μ.μ.,40.53166,23.04092,79,83,218,3978.5,25,4.705883,0,104.0138,117,1.348114,1.189809,141.1263,256.0979,79.08028,26.27451,0,0,50.0038,56.40425,-0.2519243,-0.3333898,0.00314443,1.32714,8.347541,-5.562882,4977,108180,0,0,22.7451,19.60784,0,0,57.24147
12/27/2023 05:28:50.1369 μ.μ.,40.53166,23.04092,79,83,133,3587,25,4.705883,0,66.99413,32,0.5971476,1.113091,73.52776,147.9918,79.08028,99.60784,0,0,26.05233,55.911,-0.122415,-0.4659553,0.5874982,1.084046,8.254584,-6.468199,4977,154360,0,0,88.23529,77.64706,0,0,57.24147
12/27/2023 05:28:50.8753 μ.μ.,40.53151,23.04111,81,83,196,2934,25,4.705883,0,89.01295,95,0.3148026,1.028242,115.4842,284.1712,81.28235,98.43137,0,0,39.908,55.60867,0.1945155,0.5312169,0.1544134,0.84155,7.152127,-6.160589,4977,159010,0,0,88.23529,77.64706,0,0,56.70385
12/27/2023 05:28:51.6229 μ.μ.,40.53135,23.0413,84,83,226,3052.5,25,4.705883,0,83.95263,125,0.875975,1.02683,128.8518,304.7561,85.41667,99.60784,0,0,42.93719,55.40329,-0.1449308,0.01727797,-1.294091,1.26457,7.576046,-4.687802,4977,160470,0,0,88.23529,77.64706,0,0,56.67737
12/27/2023 05:28:52.4594 μ.μ.,40.53119,23.0415,87,83,224,3164,25,4.705883,0,86.5704,123,1.118372,1.020265,129.6717,295.8873,89.57957,99.60784,0,0,41.72038,55.17165,0.6790699,-0.1378655,-0.297092,0.5375322,7.852072,-5.791906,4977,159250,0,0,88.23529,77.64706,0,0,56.67975
12/27/2023 05:28:53.6881 μ.μ.,40.53102,23.04171,90,83,220,3256,25,4.705883,0,88.13023,119,1.114353,0.9945631,130.3965,289.134,93.3587,99.60784,0,0,40.55513,54.92185,0.01892968,0.1079625,0.1842652,1.25499,7.417825,-6.231092,4977,159980,0,0,88.23529,77.64706,0,0,56.80632
12/27/2023 05:28:54.4069 μ.μ.,40.53084,23.04193,94,83,227,3382.5,25,4.705883,0,93.57849,126,1.149396,1.001228,139.2488,297.2155,97.31816,99.60784,0,0,41.46542,54.62833,0.160734,-0.5594088,-0.2555279,1.027912,8.108638,-5.750891,4977,159010,0,0,88.62745,78.03922,0,0,56.44268
12/27/2023 05:28:55.1626 μ.μ.,40.53084,23.04193,98,83,237,3550,25,4.705883,0,101.4967,136,1.090111,0.9996172,146.2475,297.4252,97.31816,99.60784,0,0,41.77195,54.29001,-0.07761668,-0.3352228,0.3539797,1.251098,7.971823,-6.406827,4977,159980,0,0,88.62745,78.03922,0,0,56.44268
12/27/2023 05:28:56.1466 μ.μ.,40.53066,23.04216,101,83,239,3630.5,25,4.705883,0,107.4217,138,1.075346,1.001206,149.1468,296.5959,100.8024,99.60784,0,0,41.33471,54.08057,-0.01629249,-1.150182,-0.4099331,1.281934,8.823401,-5.538632,4977,159980,0,0,88.62745,78.03922,0,0,56.3479
12/27/2023 05:28:56.9852 μ.μ.,40.53047,23.0424,103,84,237,3718.5,24,4.705883,0,108.9383,136,0.940262,0.9235697,150.3707,291.953,104.3723,99.21568,0,0,40.8647,53.82458,0.9172783,-0.8279955,-0.7563165,0.3272195,8.914113,-4.527036,4986,159250,0,0,88.62745,77.64706,0,0,55.62887
12/27/2023 05:28:57.6984 μ.μ.,40.53027,23.04265,107,84,230,3777.5,24,4.705883,0,108.6477,129,0.8803557,0.9076544,146.7704,280.512,107.4828,6.666667,0,0,38.39519,53.42295,0.00062772,-1.280284,2.638394,1.260828,9.678124,-7.848778,4986,90580,0,0,22.7451,19.60784,0,0,54.70507
12/27/2023 05:28:58.4565 μ.μ.,40.53008,23.0429,107,84,129,3231.5,24,4.705883,0,61.90405,28,0.517571,0.9076544,68.21637,152.406,107.2813,96.47059,0,0,17.84543,52.80163,-0.6625254,-0.5805585,0.9211792,1.708397,8.811276,-6.355633,4986,121860,0,0,88.23529,77.64706,0,0,53.95546
12/27/2023 05:28:59.2832 μ.μ.,40.52989,23.04315,107,84,174,2890,24,4.705883,0,71.4296,73,-8.88E-16,0.8446939,104.2911,260.5355,109.0078,98.43137,0,0,27.28259,52.39168,-0.3431195,-0.01848794,0.2305407,1.443598,8.087831,-5.747598,4986,156570,0,0,88.62745,78.03922,0,0,53.45158
12/27/2023 05:29:00.1143 μ.μ.,40.52989,23.04315,109,84,222,2940,24,4.705883,0,81.50339,121,0.3631605,0.8050915,120.8907,296.8677,109.0078,99.60784,0,0,31.04478,51.99267,0.4926964,-0.6456816,0.1089204,0.6869215,8.615634,-5.707481,4986,159740,0,0,88.62745,78.03922,0,0,53.45158
12/27/2023 05:29:00.8675 μ.μ.,40.52969,23.0434,112,84,220,3014,24,4.705883,0,82.16651,119,0.8060575,0.782231,122.5423,293.5353,111.9853,99.60784,0,0,30.62601,51.51904,-0.05381583,-0.4007868,-0.2522514,1.25978,8.321345,-5.480254,4986,158030,0,0,88.62745,78.03922,0,0,52.5358
12/27/2023 05:29:01.6087 μ.μ.,40.52948,23.04366,114,84,226,3067,24,4.705883,0,86.53196,125,0.831459,0.7485127,127.9963,301.3014,114.6861,99.60784,0,0,31.42786,51.18708,-0.2973011,-0.5894331,0.08863662,1.453777,8.447833,-5.811066,4986,159500,0,0,89.01961,78.03922,0,0,51.60557
12/27/2023 05:29:02.4346 μ.μ.,40.52927,23.04393,116,84,235,3127.5,24,4.705883,0,91.56015,134,0.7554674,0.7034453,134.1038,309.5718,117.2036,99.60784,0,0,32.35977,50.84562,0.09829587,-0.1293719,-1.519475,1.268612,8.400082,-3.593577,4986,160960,0,0,88.62745,78.03922,0,0,50.95613
12/27/2023 05:29:03.3431 μ.μ.,40.52906,23.0442,118,84,239,3174.5,24,4.705883,0,94.95549,138,0.7419548,0.6788815,138.6191,315.2574,116.8765,1.176471,0,0,32.88239,50.54701,0.3002294,0.4267816,-0.4466389,1.035696,8.11732,-4.388275,4986,87650,0,0,22.7451,19.60784,0,0,50.0816
12/27/2023 05:29:04.1952 μ.μ.,40.52906,23.0442,116,84,127,3117.5,24,4.705883,0,51.21579,26,0.09253979,0.506884,66.89743,154.9247,116.8765,0,0,0,16.14261,49.77344,0.434744,0.3418798,0.1297374,0.7560777,8.302185,-4.928052,4986,51970,0,0,22.7451,20,0,0,50.0816
12/27/2023 05:29:05.0595 μ.μ.,40.52885,23.04446,115,84,114,3074.5,24,4.705883,0,45.14775,13,-0.4678905,0.397251,61.55039,144.5353,115.4011,0,0,0,14.9815,49.19957,0.2814507,-0.7866206,0.1347639,0.8228389,9.522597,-4.742438,4994,53440,0,0,22.7451,19.60784,0,0,49.00577
12/27/2023 05:29:05.8710 μ.μ.,40.52865,23.04472,113,84,110,3007.5,24,4.705883,0,42.96275,9,-0.4766998,0.235473,60.29086,144.7316,112.9699,0,0,0,14.93466,48.51309,-0.1717649,-0.6380368,-0.1967185,1.198558,9.442664,-4.194727,4994,52940,0,0,22.7451,19.60784,0,0,47.40604
12/27/2023 05:29:06.7137 μ.μ.,40.52845,23.04497,110,84,109,2935.5,24,4.705883,0,41.64444,8,-0.8217034,0.1293961,58.50851,143.8979,109.4778,0,0,0,14.88842,47.96885,-0.2888001,-0.1495845,0.5320771,1.433419,8.869057,-5.024751,4994,52460,0,0,22.7451,20,0,0,46.33245
12/27/2023 05:29:07.4611 μ.μ.,40.52826,23.04521,107,84,108,2858.5,24,4.705883,0,40.27455,7,-0.9980006,0.03587284,57.13017,144.2929,106.4868,0,0,0,14.94528,47.39692,0.08798441,0.1520083,-0.2640012,1.078507,8.487051,-4.336931,4994,51720,0,0,22.7451,20,0,0,45.22747
12/27/2023 05:29:08.2837 μ.μ.,40.52807,23.04545,105,84,108,2814,24,4.705883,0,39.21812,7,-0.8427837,-0.1117928,56.46476,144.8675,104.4174,0,0,0,15.05256,46.94807,-0.126103,-0.09536546,0.324789,1.277593,8.785081,-5.041516,4994,51480,0,0,22.7451,19.60784,0,0,44.13577
12/27/2023 05:29:09.0967 μ.μ.,40.52807,23.04545,104,84,108,2770,24,4.705883,0,38.60759,7,-0.5581588,-0.2369704,56.59546,147.5093,104.4174,0,0,0,15.23248,46.50688,-0.2389992,-0.2716832,0.1224226,1.51006,8.980125,-4.848867,4994,50750,0,0,22.7451,20,0,0,44.13577
12/27/2023 05:29:09.9347 μ.μ.,40.52789,23.04568,102,84,108,2732.5,24,4.705883,0,38.00392,7,-0.5231096,-0.3827065,55.70429,147.1791,102.0376,0,0,0,15.2866,46.05131,0.3262201,-0.1347194,-0.3656923,0.970432,8.821905,-4.239334,4994,50260,0,0,22.7451,20,0,0,42.30831
12/27/2023 05:29:10.6740 μ.μ.,40.52771,23.04591,100,84,108,2667,24,4.705883,0,37.48943,7,-0.6463159,-0.517327,55.18147,149.3784,99.38558,0,0,0,15.44598,45.57559,0.4417746,0.7116362,0.02556381,0.8253836,8.074658,-4.521198,4994,49280,0,0,22.7451,19.60784,0,0,41.71303
12/27/2023 05:29:11.4374 μ.μ.,40.52754,23.04613,97,84,108,2587.5,24,4.705883,0,36.59077,7,-0.8707275,-0.7052429,54.32594,151.5809,95.61418,0,0,0,15.67682,45.21268,0.1274509,0.2565773,0.07917967,1.14437,8.727601,-4.410129,4994,48060,0,0,22.7451,20,0,0,41.20365
12/27/2023 05:29:12.4150 μ.μ.,40.52737,23.04634,94,84,108,2495,24,4.705883,0,35.50005,7,-1.119169,-0.7596688,53.06642,153.556,90.43498,0,0,0,15.80208,44.86549,0.2897884,0.5315993,0.1624534,0.9542656,8.456664,-4.330345,4994,46350,0,0,22.7451,19.60784,0,0,41.01998
12/27/2023 05:29:13.3153 μ.μ.,40.52722,23.04653,90,81,109,2380.5,24,4.705883,0,34.54792,8,-1.29382,-0.8704288,51.48607,156.149,84.87805,0,0,0,16.01288,44.54246,0.1133328,0.5968643,-0.3400109,1.172063,8.391101,-3.740721,5002,44390,0,0,22.7451,19.60784,0,0,40.68032
12/27/2023 05:29:14.0590 μ.μ.,40.52722,23.04653,84,81,109,2237,24,4.705883,0,32.96245,8,-1.50378,-0.9650849,49.03831,158.2658,84.87805,0,0,0,16.341,44.12163,0.1205012,-2.113905,-0.07396908,1.136437,11.13085,-3.695815,5002,42680,0,0,22.7451,20,0,0,40.68032
12/27/2023 05:29:14.8121 μ.μ.,40.52708,23.04671,80,81,109,2114,24,4.705883,0,30.97543,8,-1.469607,-1.00001,46.79255,159.8046,79.04027,0,0,0,16.37228,43.84002,0.1058664,-0.2396674,-0.03723654,1.140778,9.411978,-3.936065,5002,40970,0,0,22.7451,19.60784,0,0,40.35607
12/27/2023 05:29:15.6290 μ.μ.,40.52695,23.04688,75,81,109,2002,24,4.705883,0,29.27226,8,-1.645194,-1.094524,44.28539,159.7033,72.59038,0,0,0,16.52805,43.59739,-0.1357152,-0.3873388,-0.02059579,1.343307,9.65118,-3.891757,5002,39510,0,0,22.7451,20,0,0,38.75344
12/27/2023 05:29:16.4585 μ.μ.,40.52682,23.04703,70,81,108,1879.5,24,47.84314,0,27.46709,7,-1.842098,-1.199872,41.87328,160.8467,66.54528,0,0,0,16.74408,43.36748,-0.09794153,-0.03579554,-0.6082518,1.367107,9.431887,-2.678081,5002,38040,0,0,22.7451,20,0,0,38.48936
12/27/2023 05:29:17.2128 μ.μ.,40.52682,23.04703,64,81,103,1684,24,71.37255,0,24.5926,2,-1.809711,-1.344834,23.30122,99.89738,66.54528,0,0,0,10.1911,43.06164,-0.2549267,0.07108606,-0.2923626,1.626218,9.518107,-2.589914,5002,36570,0,0,22.7451,19.60784,0,0,38.48936
12/27/2023 05:29:17.9684 μ.μ.,40.52672,23.04716,58,81,102,1547.5,24,74.11765,0,21.82062,1,-2.070534,-1.509357,20.09299,93.74143,58.05694,0,0,0,9.697035,42.84523,-0.2067794,-0.5324207,-0.2189858,1.685345,10.06537,-2.445165,5002,33890,0,0,22.7451,19.60784,0,0,37.7674
12/27/2023 05:29:18.8028 μ.μ.,40.52663,23.04727,50,81,102,952.5,24,74.11765,0,20.05191,1,-2.636137,-1.742798,12.01302,91.05521,48.59438,30.98039,0,0,6.725189,42.63467,-0.144177,0.444556,0.7588629,1.595981,9.176218,-3.552263,5002,37800,0,0,22.7451,20,0,0,37.14647
12/27/2023 05:29:19.6085 μ.μ.,40.52656,23.04737,43,81,102,803,25,77.64706,0,12.34213,1,-2.721121,-1.879436,9.173147,82.47463,39.66029,31.76471,0,0,5.971345,42.44496,-0.4166752,-0.08339281,0.1935897,2.027833,9.674532,-2.96713,5002,35350,0,0,22.7451,20,0,0,36.9702
12/27/2023 05:29:20.4358 μ.μ.,40.5265,23.04744,35,81,101,878.5,25,77.64706,0,10.2684,0,-2.468122,-2.012589,9.173147,75.3866,31.91367,41.56863,0,0,7.336225,42.2727,0.002637455,-0.1039718,0.2046268,1.546284,9.482331,-3.362757,5002,36330,0,0,22.7451,20,0,0,36.77341
12/27/2023 05:29:21.2652 μ.μ.,40.5265,23.04744,30,81,100,940,25,78.43137,0,11.12263,-1,-2.202228,-2.061118,9.60091,73.73983,31.91367,36.07843,0,0,8.95805,42.16529,0.5969747,0.3508908,0.5522789,0.7072792,8.941806,-3.807333,5010,35350,0,0,22.7451,19.60784,0,0,36.77341
12/27/2023 05:29:22.1045 μ.μ.,40.52646,23.04751,23,81,99,1060.5,25,78.43137,0,11.78227,-2,-2.018188,-2.11547,10.29008,70.05286,25.61241,0.3921569,0,0,12.52314,42.06684,-0.2214706,0.4958217,0.5609273,1.468297,8.687335,-4.225413,5010,33150,0,0,22.7451,20,0,0,36.86978
12/27/2023 05:29:22.9137 μ.μ.,40.52643,23.04756,19,81,99,1330,26,73.72549,0,13.29265,-2,-1.805812,-2.128359,13.1656,71.46719,20.40451,0,0,0,19.39588,42.01952,-0.96223,-0.4079057,-1.144727,2.870131,9.609417,-2.182761,5010,35350,0,0,22.7451,20,0,0,37.12455
12/27/2023 05:29:24.5077 μ.μ.,40.52642,23.04765,17,81,100,1443.5,26,73.33334,0,16.78275,-1,-1.065787,-1.999589,17.15806,85.81615,12.22097,0,0,0,28.25151,41.98622,-1.602412,-0.04057477,0.2582367,4.34726,9.303453,-3.533252,5010,34860,0,0,22.7451,19.60784,0,0,38.00258
12/27/2023 05:29:25.7964 μ.μ.,40.52645,23.04767,15,81,100,1269.5,26,70.58823,0,18.21497,-1,-0.6895567,-1.89785,15.28066,86.90142,9.298889,61.17647,0,0,28.51498,41.96642,0.091469,-0.2984424,-0.740664,3.122058,9.251811,-2.685116,5010,57830,0,0,38.03922,34.90196,0,0,38.60704
12/27/2023 05:29:26.6007 μ.μ.,40.52647,23.04766,13,81,112,1219,26,40.39216,0,17.94165,11,-0.5582381,-1.749294,25.67768,152.0791,8.357404,59.60784,0,0,55.28849,42.01857,0.5246596,-0.1370727,-0.1393215,2.507286,9.235345,-2.994822,5010,51970,0,0,22.7451,19.60784,0,0,38.88813
12/27/2023 05:29:27.4731 μ.μ.,40.5265,23.04763,14,81,106,1028.5,25,79.21568,0,16.30501,5,-0.04937009,-1.493617,14.38948,101.0086,8.17421,33.72549,0,0,28.76997,41.97874,1.343314,0.1320692,0.4172922,0.8771759,9.02638,-3.713328,5010,37060,0,0,22.7451,20,0,0,38.75071
12/27/2023 05:29:28.2617 μ.μ.,40.5265,23.04759,12,81,102,840.5,25,81.56863,0,13.28221,1,-0.187075,-1.259482,11.14561,95.73787,6.782297,34.5098,0,0,25.9983,41.95206,1.85775,0.1492401,1.512086,-0.8017328,8.908874,-5.259912,5010,36080,0,0,22.7451,20,0,0,38.78756
12/27/2023 05:29:28.9853 μ.μ.,40.5265,23.04759,8,81,100,819,25,81.96078,0,10.64152,-1,-1.013788,-1.152151,8.840442,77.93053,6.782297,35.29412,0,0,30.93188,41.94185,1.828554,0.6033303,0.8213004,-2.083368,8.155341,-5.126539,5010,35600,0,0,22.7451,20,0,0,38.78756
12/27/2023 05:29:29.9642 μ.μ.,40.5265,23.04757,4,81,100,818.5,25,81.96078,0,10.36931,-1,-1.437532,-1.053364,8.448325,74.51943,3.898028,36.07843,0,0,59.1198,41.94973,0.1692636,0.6465269,1.181905,-1.656156,7.7181,-6.020181,5010,35840,0,0,22.7451,19.60784,0,0,38.85891
12/27/2023 05:29:30.7740 μ.μ.,40.52649,23.04757,0,79,100,809.5,26,81.17647,0,10.36298,-1,-1.485957,-1.008897,8.246326,73.54637,0.4532479,36.86274,0,0,0,41.97506,0.5272857,0.03496492,0.3164116,-2.128574,8.123158,-5.47726,5020,35350,0,0,22.7451,20,0,0,38.94316
12/27/2023 05:29:31.5373 μ.μ.,40.52649,23.04757,0,79,99,807,26,80.39216,0,10.11262,-2,-0.7594893,-0.8016241,8.175033,73.13639,0.4236374,36.47059,0,0,0,42.01187,-0.4126616,0.09973773,0.4037587,-1.091979,7.967631,-5.779481,5020,35110,0,0,22.7451,19.60784,0,0,39.12147
12/27/2023 05:29:32.2727 μ.μ.,40.52649,23.04757,0,79,99,806,26,80,0,10.08139,-2,-7.77E-16,-0.6477344,8.151268,73.01426,0.4088139,36.47059,0,0,0,42.0367,-0.4690675,0.2128271,0.1975245,-0.6378236,7.789801,-5.729486,5020,35840,0,0,25.09804,22.7451,0,0,39.27588
12/27/2023 05:29:33.1022 μ.μ.,40.52649,23.04757,0,79,100,812,26,79.21568,0,10.1706,-1,-7.77E-16,-0.5884668,8.341385,74.16512,0.4088139,40.39216,0,0,0,42.06312,-2.488706,-0.6139098,-2.445822,2.374662,8.965306,-2.591711,5020,36330,0,0,27.45098,23.13725,0,0,39.27588
12/27/2023 05:29:34.0730 μ.μ.,40.52649,23.04758,0,79,99,814.5,26,79.60784,0,10.14385,-2,-7.77E-16,-0.5098231,8.210679,72.77892,0.275163,57.2549,0,0,0,42.08931,-1.225171,0.3683899,0.03095003,2.681973,7.949369,-4.88599,5020,39510,0,0,30.58824,28.23529,0,0,39.41622
12/27/2023 05:29:34.8285 μ.μ.,40.52649,23.04757,2,79,100,1101,26,58.03922,0,10.27786,-1,0.2894407,-0.418931,14.71031,96.46104,1.08693,75.29412,0,0,205.8799,42.13655,1.635619,-0.4906412,0.8196874,-0.04475693,8.525671,-6.250253,5020,66390,0,0,38.82353,34.5098,0,0,39.57887
12/27/2023 05:29:35.5837 μ.μ.,40.52649,23.04754,5,79,105,1388.5,26,58.43137,0,14.58775,4,0.7854719,-0.3428547,23.72898,123.3817,5.904838,86.27451,0,0,132.8408,42.19371,0.6755645,-0.4459418,0.2538461,0.1080753,8.343499,-6.310727,5020,73480,0,0,41.56863,37.64706,0,0,39.73341
12/27/2023 05:29:36.3749 μ.μ.,40.5265,23.04749,9,79,114,1585.5,26,49.41177,0,19.97388,13,1.253884,-0.1307392,35.48059,161.5631,11.59696,96.47059,0,0,110.3496,42.26099,0.6316678,0.2058471,0.1956744,-0.1377136,7.627389,-6.349945,5020,108910,0,0,45.4902,40,0,0,39.82418
12/27/2023 05:29:37.2530 μ.μ.,40.52652,23.04743,14,79,135,2162.5,25,9.411765,0,27.00919,34,1.663137,0.1925304,47.22032,157.6487,17.32545,78.82353,0,0,94.41113,42.34519,-0.8527492,0.2358549,0.481447,1.733246,7.387138,-6.824907,5020,131150,0,0,50.58823,45.09804,0,0,40.11055
12/27/2023 05:29:38.0651 μ.μ.,40.52652,23.04743,18,79,161,2962,25,4.705883,0,44.08063,60,1.527988,0.4623648,87.85783,214.1475,17.32545,78.03922,0,0,136.625,42.57097,-0.8609512,0.8212674,2.697723,2.267634,7.079528,-8.537646,5020,155830,0,0,53.72549,23.52941,0,0,40.11055
12/27/2023 05:29:38.8929 μ.μ.,40.52656,23.04736,23,79,162,3429.5,25,4.705883,0,60.75274,61,1.529575,0.7956369,79.93233,168.271,23.18469,11.37255,0,0,97.27852,42.71439,0.834258,-0.2624059,0.834419,0.7179071,7.736661,-7.2373,5028,48550,0,0,42.35294,39.21569,0,0,40.02466
12/27/2023 05:29:39.7129 μ.μ.,40.52662,23.04729,26,79,144,2393,25,5.098039,0,62.52577,43,1.358052,0.885873,81.58397,246.1386,27.60664,71.37255,0,0,87.83221,42.87626,0.4096045,-0.62204,0.5815468,1.074765,7.904612,-7.309151,5028,137750,0,0,58.43137,51.76471,0,0,39.57663
